dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
htru,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99318351,0.10135079,0.15028823,0.99230849,0.10288387,0.16905638
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.84057592,0.25784111,0.19346991,0.80836042,0.26124731,0.15502773
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.96525988,0.41410256,0.06443130,0.76430808,0.37439394,-0.00559236
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.93407215,0.17688256,0.30685303,0.84944780,0.18275862,0.05531929
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.97747828,0.11453305,0.37470907,0.93574714,0.12517460,0.25571909
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99591056,0.17162981,0.10782309,0.87047619,0.15607143,0.01150443
rice,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98218865,0.23638379,0.26974474,0.97750765,0.23858268,0.26525336
churn,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98312232,0.18014109,0.24515452,0.97574505,0.18057143,0.28729393
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99344310,0.08626543,0.19125054,0.98870923,0.08831182,0.27625767
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.80628608,0.26557778,0.32861983,0.79166664,0.26548000,0.36120564
drybean,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.95968267,0.25115137,0.35633740,0.95292937,0.25264912,0.36233189
droid,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.97953829,0.12494360,0.24253611,0.97748975,0.12489384,0.24103958
page,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99499830,0.10978729,0.20329873,0.99037765,0.11394194,0.25477207
sepsis,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.96601117,0.48470431,0.08384714,0.96515110,0.48447066,0.08200847
raisin,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.94687922,0.27580247,0.24768091,0.91868064,0.27266667,0.20391958
matern,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.87988054,0.38624481,0.19798437,0.85441146,0.39218987,0.19588811
survey,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.89416463,0.16588847,0.23719655,0.88316988,0.16478553,0.20654301
aids,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.94113375,0.19184464,0.21434329,0.92377151,0.19279365,0.16984408
