dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
rice,GB_Prio_5xInf5_decision_tree-xgboost-grey-double,0.99753892,0.11681734,0.65396632,0.96078279,0.14873141,0.27379296
churn,GB_Prio_5xInf5_decision_tree-xgboost-grey-double,0.99777109,0.07212228,0.56283045,0.97161090,0.07068783,0.42640694
matern,GB_Prio_5xInf5_decision_tree-xgboost-grey-double,0.94057176,0.27295482,0.29734881,0.88594568,0.32584288,0.25072009
bench,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99190197,0.35877802,0.03493224,0.81778092,0.36952381,0.10038293
brst-w,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,1.00000000,0.06593783,0.24478782,0.97023056,0.09138471,0.26258921
blood,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.93049919,0.24044390,0.49571183,0.81353618,0.26916517,0.09209203
car,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99853276,0.02074749,0.79791073,0.97872148,0.03125868,0.64623887
vertebr,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99970229,0.23237754,0.27916450,0.89855376,0.23548387,0.29668361
haber,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.95401020,0.28492798,0.56410405,0.76985787,0.33111111,0.04282407
brst-c,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99401895,0.43206654,0.08404608,0.74624339,0.38484848,0.01352885
rice,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99929538,0.11371634,0.70387494,0.96031055,0.18197725,0.23539883
churn,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.99803339,0.07354497,0.55052635,0.97188938,0.08772487,0.38598347
matern,GB_Prio_5xInf5_decision_tree-xgboost-grey-ternary,0.95361753,0.27734094,0.32719437,0.89806754,0.34981557,0.26217661
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98889244,0.42608753,0.02686238,0.82963263,0.38301587,0.07135625
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99288193,0.15960204,0.08649433,0.97749823,0.16107978,0.24774157
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.86271687,0.25114079,0.19667706,0.84763129,0.26384384,0.16414800
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99323584,0.14107020,0.34717030,0.99057083,0.14008939,0.35314557
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99468825,0.35244922,0.15326869,0.92784840,0.35376344,0.28555539
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.84276887,0.26606719,0.18295718,0.80761364,0.26351254,0.16124023
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.95855672,0.41576618,0.05227921,0.84163179,0.38510101,0.06488575
rice,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98106020,0.22698552,0.27699102,0.97658102,0.23035871,0.26795499
churn,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98266441,0.18640800,0.23759463,0.97599258,0.18783069,0.28214611
matern,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.88072941,0.38753147,0.18691103,0.85287350,0.38858474,0.18613017
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98791043,0.42363466,0.02402674,0.83913325,0.42650794,0.09873029
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99669248,0.19632485,0.07430783,0.98016320,0.20904344,0.18477151
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.85236195,0.22488812,0.16771712,0.82864997,0.23667868,0.15479458
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99608063,0.14418250,0.28065348,0.99535018,0.14680401,0.29697461
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98998605,0.30430108,0.13280564,0.90385344,0.32365591,0.26058226
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.83650862,0.24194335,0.18145377,0.80747501,0.24003584,0.18154877
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.94511202,0.42165446,0.03608820,0.77169432,0.37979798,0.07965975
rice,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.97813078,0.24620395,0.24919178,0.96973746,0.24881890,0.24342680
churn,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98406843,0.11737801,0.23836845,0.97222817,0.11682540,0.28525813
matern,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.89936292,0.23699187,0.19849858,0.85777125,0.23296124,0.19560893
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99788472,0.41663443,0.02845810,0.83752285,0.35317460,0.06873968
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99957336,0.08911111,0.18530747,0.97478287,0.09424603,0.28395121
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.87995582,0.24302164,0.27684317,0.84206733,0.25581381,0.14467138
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99875841,0.03450771,0.72671758,0.98916892,0.04128467,0.66268453
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99901480,0.27299881,0.21506906,0.92168193,0.27634409,0.33095600
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.85932852,0.25361265,0.25438781,0.80375329,0.25795699,0.15989022
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.98861126,0.52272283,0.05292728,0.82839586,0.47601010,0.07336498
rice,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99796066,0.11500923,0.66841163,0.95961763,0.14496938,0.27018063
churn,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99742901,0.08117578,0.52302561,0.97134110,0.07798942,0.40592563
matern,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.94720700,0.33092474,0.26703062,0.89920976,0.38991134,0.22696276
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99544832,0.42537073,0.02921247,0.83921112,0.40698413,0.07287175
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99992877,0.07967252,0.20096067,0.97105805,0.09840226,0.24827568
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.91592447,0.25673182,0.40171273,0.83874116,0.28305706,0.13515739
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99942351,0.03279317,0.72779535,0.98523151,0.04822781,0.60301133
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99984277,0.26857826,0.22520232,0.90624787,0.26559140,0.31067079
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.89335200,0.27465657,0.34252570,0.80150405,0.28863799,0.15450640
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99469939,0.53930403,0.05455254,0.79925926,0.47171717,0.09259940
rice,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99952458,0.11818800,0.69309779,0.96049239,0.18416448,0.23055377
churn,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99819325,0.08345679,0.50887142,0.97329760,0.09375661,0.38506708
matern,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.95112086,0.33150805,0.27369350,0.90427096,0.40112923,0.22599214
