dataset,algorithm,hybrid_accuracy_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_reject_test,hybrid_kappa_test
19,5x5_Dynamic_Double_GB_Shallow,0.99173963,0.15275163,0.34185051,0.98715507,0.14698750,0.35239709
212,5x5_Dynamic_Double_GB_Shallow,0.99452666,0.36422939,0.14603512,0.92685214,0.37290323,0.27386125
267,5x5_Dynamic_Double_GB_Shallow,0.99780696,0.17874756,0.11800031,0.98958686,0.18646250,0.12110685
329,5x5_Dynamic_Double_GB_Shallow,0.83816485,0.49081579,0.09716983,0.74352410,0.48565067,0.09298477
43,5x5_Dynamic_Double_GB_Shallow,0.84317751,0.27248617,0.19511450,0.81304456,0.27526882,0.19512969
451,5x5_Dynamic_Double_GB_Shallow,0.96125060,0.44759158,0.04161782,0.79602237,0.40439394,0.05572749
519,5x5_Dynamic_Double_GB_Shallow,0.93475357,0.19442159,0.30500635,0.86402324,0.18931034,0.08445608
52,5x5_Dynamic_Double_GB_Shallow,0.97478274,0.12934519,0.34787986,0.93648874,0.13042857,0.24305008
537,5x5_Dynamic_Double_GB_Shallow,0.99434814,0.25037019,0.05966224,0.87357143,0.26142857,0.05422021
545,5x5_Dynamic_Double_GB_Shallow,0.98096749,0.22578011,0.27636472,0.97650975,0.22934383,0.27314391
563,5x5_Dynamic_Double_GB_Shallow,0.98220101,0.18716049,0.23378528,0.97612515,0.18958730,0.28189728
850,5x5_Dynamic_Double_GB_Shallow,0.94489163,0.28155556,0.23588246,0.92362913,0.28044444,0.20919063
863,5x5_Dynamic_Double_GB_Shallow,0.87970751,0.43231342,0.18057385,0.85267853,0.43814211,0.17413105
887,5x5_Dynamic_Double_GB_Shallow,0.89634146,0.17614925,0.23748776,0.88519243,0.17840560,0.20470741
891,5x5_Dynamic_Double_GB_Shallow,0.93718036,0.30456016,0.25904642,0.93696426,0.30451750,0.26075876
94,5x5_Dynamic_Double_GB_Shallow,0.96169700,0.25411440,0.10166892,0.95257167,0.25789710,0.12788136
96,5x5_Dynamic_Double_GB_Shallow,0.98120104,0.30561964,0.43695386,0.89447102,0.29333333,0.26858099
151,5x5_Dynamic_Ternary_Shallow,0.98908705,0.43034361,0.02308291,0.82367563,0.42880952,0.06615423
17,5x5_Dynamic_Ternary_Shallow,0.99563563,0.17230141,0.07456784,0.97842010,0.17402256,0.19291750
174,5x5_Dynamic_Ternary_Shallow,1.00000000,0.27685649,0.02016874,0.94376461,0.29089474,0.14882901
176,5x5_Dynamic_Ternary_Shallow,0.85924257,0.26414152,0.16617072,0.83956915,0.26442883,0.16106775
19,5x5_Dynamic_Ternary_Shallow,0.99632966,0.14657879,0.27441382,0.99597070,0.14930770,0.30239135
212,5x5_Dynamic_Ternary_Shallow,0.98908804,0.30265233,0.13459562,0.91292323,0.29935484,0.27757977
267,5x5_Dynamic_Ternary_Shallow,0.99950188,0.14784554,0.09637090,0.99314064,0.15553687,0.10623773
329,5x5_Dynamic_Ternary_Shallow,0.85473744,0.43990499,0.07868647,0.75096717,0.43682759,0.09025197
43,5x5_Dynamic_Ternary_Shallow,0.83718395,0.24429908,0.19286514,0.80858012,0.25501075,0.19075894
451,5x5_Dynamic_Ternary_Shallow,0.95276460,0.44988828,0.03938621,0.76544444,0.39848485,0.03507427
519,5x5_Dynamic_Ternary_Shallow,0.95273285,0.35310588,0.23528848,0.87254167,0.35662069,0.11100054
52,5x5_Dynamic_Ternary_Shallow,0.98116758,0.21994294,0.21226024,0.92267656,0.23298413,0.10857186
537,5x5_Dynamic_Ternary_Shallow,0.99637993,0.28705769,0.05453597,0.83783333,0.31214286,-0.04552343
545,5x5_Dynamic_Ternary_Shallow,0.97875407,0.24654418,0.25139977,0.97215879,0.25196850,0.24668850
563,5x5_Dynamic_Ternary_Shallow,0.98343108,0.12177778,0.23506023,0.97137750,0.12025397,0.28215601
850,5x5_Dynamic_Ternary_Shallow,0.95206419,0.30558025,0.22524406,0.92017149,0.31244444,0.21044398
863,5x5_Dynamic_Ternary_Shallow,0.89883087,0.24224362,0.19808486,0.85589043,0.24858280,0.18522231
887,5x5_Dynamic_Ternary_Shallow,0.91571388,0.33811731,0.19761433,0.89813260,0.33887433,0.16056102
891,5x5_Dynamic_Ternary_Shallow,0.91140754,0.29834919,0.21462729,0.90998193,0.29844450,0.21561330
94,5x5_Dynamic_Ternary_Shallow,0.96803381,0.27172413,0.08805983,0.95525586,0.27489069,0.10843782
96,5x5_Dynamic_Ternary_Shallow,0.98505652,0.35715007,0.36489156,0.88699599,0.37028490,0.20636731
151,5x5_Dynamic_Binary_Deep,0.99957219,0.00000000,0.01920060,0.82438095,0.00000000,0.06140755
17,5x5_Dynamic_Binary_Deep,0.99757851,0.00000000,0.17935523,0.95922306,0.00000000,0.27670113
174,5x5_Dynamic_Binary_Deep,0.99988636,0.00000000,0.02190666,0.91389474,0.00000000,0.14374744
176,5x5_Dynamic_Binary_Deep,0.82055908,0.00000000,0.31698030,0.78611171,0.00000000,0.21089954
19,5x5_Dynamic_Binary_Deep,0.99913835,0.00000000,0.80153416,0.98761057,0.00000000,0.75706020
212,5x5_Dynamic_Binary_Deep,0.98430108,0.00000000,0.20308280,0.82838710,0.00000000,0.27283778
267,5x5_Dynamic_Binary_Deep,0.99998379,0.00000000,0.34507745,0.99125463,0.00000000,0.31139451
329,5x5_Dynamic_Binary_Deep,0.93831518,0.00000000,0.20003438,0.68861919,0.00000000,0.10345648
43,5x5_Dynamic_Binary_Deep,0.77436390,0.00000000,0.24422051,0.75219355,0.00000000,0.25635350
451,5x5_Dynamic_Binary_Deep,0.91532051,0.00000000,0.03276511,0.77666667,0.00000000,0.06846592
519,5x5_Dynamic_Binary_Deep,0.94381330,0.00000000,0.88579844,0.83882759,0.00000000,0.13510020
52,5x5_Dynamic_Binary_Deep,0.97429616,0.00000000,0.73015934,0.91515873,0.00000000,0.23929571
537,5x5_Dynamic_Binary_Deep,0.98827885,0.00000000,0.04617857,0.85857143,0.00000000,0.02310545
545,5x5_Dynamic_Binary_Deep,0.93591134,0.00000000,0.62486866,0.92766404,0.00000000,0.26876487
563,5x5_Dynamic_Binary_Deep,0.98728748,0.00000000,0.58903141,0.95695238,0.00000000,0.47785639
850,5x5_Dynamic_Binary_Deep,0.91496296,0.00000000,0.76793985,0.86888889,0.00000000,0.30085418
863,5x5_Dynamic_Binary_Deep,0.92130162,0.00000000,0.35776663,0.86071831,0.00000000,0.31650990
887,5x5_Dynamic_Binary_Deep,0.87348571,0.00000000,0.93174936,0.84284875,0.00000000,0.16579940
891,5x5_Dynamic_Binary_Deep,0.86946591,0.00000000,0.41319184,0.86675654,0.00000000,0.24861631
94,5x5_Dynamic_Binary_Deep,0.98935497,0.00000000,0.38065537,0.94918551,0.00000000,0.29248732
96,5x5_Dynamic_Binary_Deep,0.97120401,0.00000000,0.84241695,0.79917379,0.00000000,0.26499200
151,5x5_Dynamic_Double_AR_Deep,0.99961828,0.44381727,0.02219680,0.85454926,0.45128571,0.08705734
17,5x5_Dynamic_Double_AR_Deep,1.00000000,0.09783222,0.16987051,0.97224556,0.13110276,0.24271513
174,5x5_Dynamic_Double_AR_Deep,0.99985612,0.22107857,0.02426877,0.93890445,0.24926316,0.15811079
176,5x5_Dynamic_Double_AR_Deep,0.89324892,0.29257031,0.29052130,0.84765876,0.30890811,0.14766294
19,5x5_Dynamic_Double_AR_Deep,0.99946812,0.05609555,0.60616701,0.99412672,0.07234373,0.55584934
212,5x5_Dynamic_Double_AR_Deep,0.99977474,0.30788530,0.18518430,0.92341625,0.32193548,0.30171165
267,5x5_Dynamic_Double_AR_Deep,0.99998350,0.02225442,0.32456763,0.99485764,0.04008463,0.28678739
329,5x5_Dynamic_Double_AR_Deep,0.99637613,0.73290879,0.10175126,0.80157397,0.70022339,0.06862739
43,5x5_Dynamic_Double_AR_Deep,0.88551588,0.31496970,0.28296563,0.81688922,0.32767742,0.17884858
451,5x5_Dynamic_Double_AR_Deep,0.98971310,0.60829670,0.03611996,0.79883333,0.56393939,0.02385404
519,5x5_Dynamic_Double_AR_Deep,0.99787548,0.28948066,0.44964603,0.88859634,0.32248276,0.14933083
52,5x5_Dynamic_Double_AR_Deep,0.99976620,0.17815531,0.41572078,0.95109769,0.22446032,0.22923209
537,5x5_Dynamic_Double_AR_Deep,0.99711856,0.28523558,0.05978563,0.87338095,0.34857143,-0.00073711
545,5x5_Dynamic_Double_AR_Deep,0.99866197,0.13988335,0.58129436,0.96618495,0.19181102,0.25860982
563,5x5_Dynamic_Double_AR_Deep,0.99919585,0.11436332,0.41446137,0.98055188,0.12393651,0.37305912
850,5x5_Dynamic_Double_AR_Deep,0.99797026,0.23701235,0.55976807,0.92511132,0.27644444,0.24335391
863,5x5_Dynamic_Double_AR_Deep,0.97224948,0.43616259,0.24565270,0.92501091,0.50200738,0.19463388
887,5x5_Dynamic_Double_AR_Deep,0.98194062,0.24831724,0.62869289,0.89220371,0.27094057,0.17850686
891,5x5_Dynamic_Double_AR_Deep,0.96411316,0.28481683,0.38661655,0.92949497,0.30773021,0.23102167
94,5x5_Dynamic_Double_AR_Deep,0.99859030,0.17371107,0.26324773,0.97681889,0.21030293,0.22479205
96,5x5_Dynamic_Double_AR_Deep,0.99763622,0.41264799,0.33143283,0.92832288,0.42017094,0.26832820
151,5x5_Dynamic_Double_GB_Deep,0.99926737,0.43526738,0.02299862,0.84782220,0.40323810,0.08813990
17,5x5_Dynamic_Double_GB_Deep,0.99969841,0.09365368,0.17366487,0.96990979,0.10333333,0.27129626
174,5x5_Dynamic_Double_GB_Deep,0.99985612,0.21800195,0.02470912,0.93741957,0.23394737,0.15993735
176,5x5_Dynamic_Double_GB_Deep,0.87680644,0.25005917,0.26071953,0.84317963,0.25861261,0.15749706
19,5x5_Dynamic_Double_GB_Deep,0.99910185,0.04099831,0.70295463,0.99101346,0.04826590,0.65523810
212,5x5_Dynamic_Double_GB_Deep,0.99755010,0.29928315,0.18402471,0.91289723,0.28967742,0.30214478
267,5x5_Dynamic_Double_GB_Deep,0.99998357,0.01899886,0.34651858,0.99194956,0.02434042,0.31026283
329,5x5_Dynamic_Double_GB_Deep,0.91904081,0.58274129,0.14709342,0.75052936,0.52453073,0.08374401
43,5x5_Dynamic_Double_GB_Deep,0.85773106,0.27204401,0.22574691,0.81431320,0.27795699,0.19555972
451,5x5_Dynamic_Double_GB_Deep,0.98809069,0.56747985,0.04384612,0.79938095,0.45500000,0.07588855
519,5x5_Dynamic_Double_GB_Deep,0.99520147,0.15949167,0.78124996,0.85446940,0.11636782,0.10584171
52,5x5_Dynamic_Double_GB_Deep,0.99921711,0.10344565,0.67145766,0.92379024,0.08552381,0.21897606
537,5x5_Dynamic_Double_GB_Deep,0.99562908,0.25159135,0.06218020,0.88171429,0.28607143,0.05960858
545,5x5_Dynamic_Double_GB_Deep,0.99779959,0.11417323,0.66824162,0.95970673,0.14341207,0.27480236
563,5x5_Dynamic_Double_GB_Deep,0.99797284,0.08879012,0.49735635,0.97315268,0.08685714,0.40366679
850,5x5_Dynamic_Double_GB_Deep,0.99645628,0.17595062,0.71752469,0.91057476,0.17622222,0.26883132
863,5x5_Dynamic_Double_GB_Deep,0.94414664,0.36116725,0.25425321,0.89799967,0.41599301,0.21190064
887,5x5_Dynamic_Double_GB_Deep,0.97984357,0.15077595,0.89097607,0.86986884,0.12493122,0.16015167
