dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
267,1x5_Dynamic_Double_AR_Shallow,0.99906187,0.59545021,0.09982065,0.30472914,0.05816319,0.99287512,0.58830424,0.09840157,0.31329419,0.06912168
329,1x5_Dynamic_Double_AR_Shallow,0.91735787,0.18065596,0.13802348,0.68132056,0.07931674,0.76311881,0.18542429,0.13884708,0.67572864,0.06836574
372,1x5_Dynamic_Double_AR_Shallow,0.99379278,0.85668052,0.02158893,0.12173055,0.13246855,0.99291166,0.85535726,0.02202554,0.12261719,0.14881445
43,1x5_Dynamic_Double_AR_Shallow,0.84650601,0.62189960,0.09725613,0.28084427,0.19719567,0.81137069,0.62167742,0.09675269,0.28156989,0.16142008
451,1x5_Dynamic_Double_AR_Shallow,0.96377979,0.23409158,0.21822527,0.54768315,0.03566818,0.76574344,0.22075758,0.21590909,0.56333333,-0.00688696
519,1x5_Dynamic_Double_AR_Shallow,0.96410312,0.56194107,0.11511607,0.32294286,0.25224513,0.87539689,0.50719540,0.15174713,0.34105747,0.11071268
52,1x5_Dynamic_Double_AR_Shallow,0.99053575,0.62317722,0.10495640,0.27186639,0.22123902,0.95828354,0.57787302,0.10655556,0.31557143,0.19827049
537,1x5_Dynamic_Double_AR_Shallow,0.99761021,0.50865385,0.23578365,0.25556250,0.07201020,0.85214286,0.44321429,0.29250000,0.26428571,-0.01285077
545,1x5_Dynamic_Double_AR_Shallow,0.98429221,0.71154272,0.03270341,0.25575386,0.25955647,0.98014761,0.70897638,0.03280840,0.25821522,0.25428299
563,1x5_Dynamic_Double_AR_Shallow,0.99080480,0.75153439,0.03235273,0.21611287,0.22404330,0.98306563,0.75104762,0.03136508,0.21758730,0.26804060
572,1x5_Dynamic_Double_AR_Shallow,0.99589572,0.86575105,0.02286732,0.11138164,0.16714573,0.99172625,0.86032982,0.02446273,0.11520745,0.25453982
59,1x5_Dynamic_Double_AR_Shallow,0.82012657,0.27872889,0.43443667,0.28683444,0.30262726,0.80685428,0.27869000,0.43418000,0.28713000,0.34068583
602,1x5_Dynamic_Double_AR_Shallow,0.98262038,0.52171901,0.06170161,0.41657937,0.22684607,0.97603439,0.51841535,0.06247997,0.41910468,0.23853156
722,1x5_Dynamic_Double_AR_Shallow,0.99031192,0.54481567,0.06517031,0.39001403,0.09165363,0.98751808,0.54416346,0.06447636,0.39136018,0.09240225
78,1x5_Dynamic_Double_AR_Shallow,0.99723853,0.79905417,0.04571514,0.15523068,0.16178455,0.99478812,0.79444428,0.04502289,0.16053283,0.21840800
827,1x5_Dynamic_Double_AR_Shallow,0.96551926,0.52150937,0.00000000,0.47849063,0.08472165,0.96467746,0.52135662,0.00000000,0.47864338,0.08291179
850,1x5_Dynamic_Double_AR_Shallow,0.95275718,0.60101235,0.07928395,0.31970370,0.23265487,0.92433536,0.59644444,0.07911111,0.32444444,0.19357051
863,1x5_Dynamic_Double_AR_Shallow,0.97105514,0.21188246,0.14607761,0.64203993,0.12052663,0.94176429,0.20074937,0.14311202,0.65613861,0.12147373
887,1x5_Dynamic_Double_AR_Shallow,0.92148406,0.60848535,0.08134876,0.31016589,0.23778504,0.90706811,0.60378739,0.08322938,0.31298323,0.20353376
890,1x5_Dynamic_Double_AR_Shallow,0.97608517,0.58269250,0.09022832,0.32707918,0.22092027,0.96173265,0.57149269,0.09069501,0.33781229,0.21217284
891,1x5_Dynamic_Double_AR_Shallow,0.93811960,0.62525754,0.06358141,0.31116104,0.25667744,0.93782006,0.62496846,0.06398061,0.31105093,0.25834731
94,1x5_Dynamic_Double_AR_Shallow,0.97615494,0.49712759,0.12519980,0.37767261,0.07689978,0.96382451,0.49159577,0.12340913,0.38499510,0.09499373
96,1x5_Dynamic_Double_AR_Shallow,0.99277520,0.55771819,0.04743430,0.39484751,0.33086727,0.92443784,0.49974359,0.08703704,0.41321937,0.27320013
151,1x5_Dynamic_Double_GB_Shallow,0.98861504,0.34466151,0.29936398,0.35597451,0.03333298,0.82912369,0.35742857,0.28785714,0.35471429,0.09518397
159,1x5_Dynamic_Double_GB_Shallow,0.92626211,0.50473420,0.14365814,0.35160766,0.13014538,0.90702067,0.50376446,0.14375394,0.35248160,0.15283834
17,1x5_Dynamic_Double_GB_Shallow,0.99372253,0.74204633,0.09791035,0.16004333,0.08969849,0.97694725,0.72686717,0.10792607,0.16520677,0.25092592
174,1x5_Dynamic_Double_GB_Shallow,0.99886091,0.51009805,0.28089740,0.20900455,0.02917677,0.93013201,0.50921053,0.27084211,0.21994737,0.18533639
